ResourceID,NPRN
710074,710074
710075,710075
710076,710076
710077,710077
710078,710078
710079,710079
710080,710080
710081,710081
710082,710082
710083,710083
710084,710084
710085,710085
710086,710086
710087,710087
710088,710088
710089,710089
710090,710090
710091,710091
710092,710092
710093,710093
710094,710094
710095,710095
710096,710096
710097,710097
710098,710098
710099,710099
710100,710100
710101,710101
710102,710102
710103,710103
710104,710104
710105,710105
710106,710106
710107,710107
710108,710108
710109,710109
710110,710110
710111,710111
710112,710112
710113,710113
710114,710114
710115,710115
710116,710116
710117,710117
710118,710118
710119,710119
710120,710120
710121,710121
710122,710122
710123,710123
710124,710124
710125,710125
710126,710126
710127,710127
710128,710128
710129,710129
710130,710130
710131,710131
710132,710132
710133,710133
710134,710134
710135,710135
710136,710136
710137,710137
710138,710138
710139,710139
710140,710140
710141,710141
710142,710142
710143,710143
710144,710144
710145,710145
710146,710146
710147,710147
710148,710148
710149,710149
710150,710150
710151,710151
710152,710152
710153,710153
710154,710154
710155,710155
710156,710156
710157,710157
710158,710158
710159,710159
710160,710160
710161,710161
710162,710162
710163,710163
710164,710164
710165,710165
710166,710166
710167,710167
710168,710168
710169,710169
710170,710170
710171,710171
710172,710172
710173,710173
710174,710174
710175,710175
710176,710176
710177,710177
710178,710178
710179,710179
710180,710180
710181,710181
710182,710182
710183,710183
710184,710184
710185,710185
710186,710186
710187,710187
710188,710188
710189,710189
710190,710190
710191,710191
710192,710192
710193,710193
710194,710194
710195,710195
710196,710196
710197,710197
710198,710198
710199,710199
710200,710200
710201,710201
710202,710202
710203,710203
710204,710204
710205,710205
710206,710206
710207,710207
710208,710208
710209,710209
710210,710210
710211,710211
710212,710212
710213,710213
710214,710214
710215,710215
710216,710216
710217,710217
710218,710218
710219,710219
710220,710220
710221,710221
710222,710222
710223,710223
710224,710224
710225,710225
710226,710226
710227,710227
710228,710228
710229,710229
710230,710230
710231,710231
710232,710232
710233,710233
710234,710234
710235,710235
710236,710236
710237,710237
710238,710238
710239,710239
710240,710240
710241,710241
710242,710242
710243,710243
710244,710244
710245,710245
710246,710246
710247,710247
710248,710248
710249,710249
710250,710250
710251,710251
710252,710252
710253,710253
710254,710254
710255,710255
710256,710256
710257,710257
710258,710258
710259,710259
710260,710260
710261,710261
710262,710262
710263,710263
710264,710264
710265,710265
710266,710266
710267,710267
710268,710268
710269,710269
710270,710270
710271,710271
710272,710272
710273,710273
710274,710274
710275,710275
710276,710276
710277,710277
710278,710278
710279,710279
710280,710280
710281,710281
710282,710282
710283,710283
710284,710284
710285,710285
710286,710286
710287,710287
710288,710288
710289,710289
710290,710290
710291,710291
710292,710292
710293,710293
710294,710294
710295,710295
710296,710296
710297,710297
710298,710298
710299,710299
710300,710300
710301,710301
710302,710302
710303,710303
710304,710304
710305,710305
710306,710306
710307,710307
710308,710308
710309,710309
710310,710310
710311,710311
710312,710312
710313,710313
710314,710314
710315,710315
710316,710316
710317,710317
710318,710318
710319,710319
710320,710320
710321,710321
710322,710322
710323,710323
710324,710324
710326,710326
710327,710327
710329,710329
710330,710330
710335,710335
710336,710336
