ResourceID,Community,Unitary_Authority,Old_County
544500,Maritime,Maritime,Maritime
544501,Maritime,Maritime,Maritime
544502,Maritime,Maritime,Maritime
544503,Maritime,Maritime,Maritime
544504,Maritime,Maritime,Maritime
544505,Maritime,Maritime,Maritime
544506,Maritime,Maritime,Maritime
544507,Maritime,Maritime,Maritime
544508,Maritime,Maritime,Maritime
544509,Maritime,Maritime,Maritime
544510,Maritime,Maritime,Maritime
544511,Maritime,Maritime,Maritime
544512,Maritime,Maritime,Maritime
544513,Maritime,Maritime,Maritime
544514,Maritime,Maritime,Maritime
544515,Maritime,Maritime,Maritime
544516,Maritime,Maritime,Maritime
544517,Maritime,Maritime,Maritime
544518,Maritime,Maritime,Maritime
544519,Maritime,Maritime,Maritime
544520,Maritime,Maritime,Maritime
544521,Maritime,Maritime,Maritime
544522,Maritime,Maritime,Maritime
544523,Maritime,Maritime,Maritime
544524,Maritime,Maritime,Maritime
544525,Maritime,Maritime,Maritime
544526,Maritime,Maritime,Maritime
544527,Maritime,Maritime,Maritime
544528,Maritime,Maritime,Maritime
544529,Maritime,Maritime,Maritime
544530,Maritime,Maritime,Maritime
544531,Maritime,Maritime,Maritime
544532,Maritime,Maritime,Maritime
544533,Maritime,Maritime,Maritime
544534,Maritime,Maritime,Maritime
544535,Maritime,Maritime,Maritime
544536,Maritime,Maritime,Maritime
544537,Maritime,Maritime,Maritime
544538,Maritime,Maritime,Maritime
544539,Maritime,Maritime,Maritime
544540,Maritime,Maritime,Maritime
544541,Maritime,Maritime,Maritime
544542,Maritime,Maritime,Maritime
544543,Maritime,Maritime,Maritime
544544,Maritime,Maritime,Maritime
544545,Maritime,Maritime,Maritime
544546,Maritime,Maritime,Maritime
544547,Maritime,Maritime,Maritime
544548,Maritime,Maritime,Maritime
544549,Maritime,Maritime,Maritime
544550,Maritime,Maritime,Maritime
544551,Maritime,Maritime,Maritime
544553,Maritime,Maritime,Maritime
