ResourceID,LASTUPDATE,UPD_BY,ENTRYDATE,ENTER_BY
544500,2020-09-21,MRP,2020-09-21,MRP
544501,2020-09-21,MRP,2020-09-21,MRP
544502,2020-09-21,MRP,2020-09-21,MRP
544503,2020-09-21,MRP,2020-09-21,MRP
544504,2020-09-21,MRP,2020-09-21,MRP
544505,2020-09-21,MRP,2020-09-21,MRP
544506,2020-09-21,MRP,2020-09-21,MRP
544507,2020-09-21,MRP,2020-09-21,MRP
544508,2020-09-21,MRP,2020-09-21,MRP
544509,2020-09-21,MRP,2020-09-21,MRP
544510,2020-09-21,MRP,2020-09-21,MRP
544511,2020-09-21,MRP,2020-09-21,MRP
544512,2020-09-21,MRP,2020-09-21,MRP
544513,2020-09-21,MRP,2020-09-21,MRP
544514,2020-09-21,MRP,2020-09-21,MRP
544515,2020-09-21,MRP,2020-09-21,MRP
544516,2020-09-21,MRP,2020-09-21,MRP
544517,2020-09-21,MRP,2020-09-21,MRP
544518,2020-09-21,MRP,2020-09-21,MRP
544519,2020-09-21,MRP,2020-09-21,MRP
544520,2020-09-21,MRP,2020-09-21,MRP
544521,2020-09-21,MRP,2020-09-21,MRP
544522,2020-09-21,MRP,2020-09-21,MRP
544523,2020-09-21,MRP,2020-09-21,MRP
544524,2020-09-21,MRP,2020-09-21,MRP
544525,2020-09-21,MRP,2020-09-21,MRP
544526,2020-09-21,MRP,2020-09-21,MRP
544527,2020-09-21,MRP,2020-09-21,MRP
544528,2020-09-21,MRP,2020-09-21,MRP
544529,2020-09-21,MRP,2020-09-21,MRP
544530,2020-09-21,MRP,2020-09-21,MRP
544531,2020-09-21,MRP,2020-09-21,MRP
544532,2020-09-21,MRP,2020-09-21,MRP
544533,2020-09-21,MRP,2020-09-21,MRP
544534,2020-09-21,MRP,2020-09-21,MRP
544535,2020-09-21,MRP,2020-09-21,MRP
544536,2020-09-21,MRP,2020-09-21,MRP
544537,2020-09-21,MRP,2020-09-21,MRP
544538,2020-09-21,MRP,2020-09-21,MRP
544539,2020-09-21,MRP,2020-09-21,MRP
544540,2020-09-21,MRP,2020-09-21,MRP
544541,2020-09-21,MRP,2020-09-21,MRP
544542,2020-09-21,MRP,2020-09-21,MRP
544543,2020-09-21,MRP,2020-09-21,MRP
544544,2020-09-21,MRP,2020-09-21,MRP
544545,2020-09-21,MRP,2020-09-21,MRP
544546,2020-09-21,MRP,2020-09-21,MRP
544547,2020-09-21,MRP,2020-09-21,MRP
544548,2020-09-21,MRP,2020-09-21,MRP
544549,2020-09-21,MRP,2020-09-21,MRP
544550,2020-09-21,MRP,2020-09-21,MRP
544551,2020-09-21,MRP,2020-09-21,MRP
544553,2020-09-21,MRP,2020-09-21,MRP
