ResourceID,Location_Accuracy,Mapsheet,KMSQ,Column1
544500,Grid reference converted from a latitude and longitude coordinate,SM30NW,SM3606,SM3655106706
544501,Grid reference converted from a latitude and longitude coordinate,SH29SE,SH2194,SH2114594044
544502,Grid reference converted from a latitude and longitude coordinate,,,
544503,Grid reference converted from a latitude and longitude coordinate,SM40NE,SM4305,SM4330005300
544504,Grid reference converted from a latitude and longitude coordinate,SN10SE,SN1303,SN1380000300
544505,Grid reference converted from a latitude and longitude coordinate,SH28SW,SH2580,SH2500080000
544506,Grid reference converted from a latitude and longitude coordinate,ST38NE,ST3287,ST3288087000
544507,Grid reference converted from a latitude and longitude coordinate,SN10SE,SN1300,SN1300000000
544508,Grid reference converted from a latitude and longitude coordinate,,,
544509,Grid reference converted from a latitude and longitude coordinate,,,
544510,Grid reference converted from a latitude and longitude coordinate,SN09NE,SN0195,SN0167095710
544511,Grid reference converted from a latitude and longitude coordinate,ST06NE,ST0265,ST0224565488
544512,Grid reference converted from a latitude and longitude coordinate,SG69NE,SG6097,SG6000097000
544513,Grid reference converted from a latitude and longitude coordinate,SM30NW,SM3606,SM3655106706
544514,Grid reference converted from a latitude and longitude coordinate,,,
544515,Grid reference converted from a latitude and longitude coordinate,ST27NW,ST2979,ST2999879995
544516,Grid reference converted from a latitude and longitude coordinate,SH27NE,SH2176,SH2175176123
544517,Grid reference converted from a latitude and longitude coordinate,SM70SE,SM7204,SM7277004660
544518,Grid reference converted from a latitude and longitude coordinate,SN14NW,SN1745,SN1750045900
544519,Grid reference converted from a latitude and longitude coordinate,SN10SE,SN1400,SN1400000200
544520,Grid reference converted from a latitude and longitude coordinate,,,
544521,Grid reference converted from a latitude and longitude coordinate,SR57NE,SR5379,SR5300079000
544522,Grid reference converted from a latitude and longitude coordinate,SR97SE,SR9172,SR9109272942
544523,Grid reference converted from a latitude and longitude coordinate,SS96NE,SS9168,SS9152468131
544524,Grid reference converted from a latitude and longitude coordinate,SS78NE,SS7387,SS7325487558
544525,Grid reference converted from a latitude and longitude coordinate,SS38SE,SS3181,SS3188381606
544526,Grid reference converted from a latitude and longitude coordinate,,,
544527,Grid reference converted from a latitude and longitude coordinate,SC70SE,SC7104,SC7148904065
544528,Grid reference converted from a latitude and longitude coordinate,SH52SE,SH5221,SH5200021000
544529,Grid reference converted from a latitude and longitude coordinate,SM34SE,SM3041,SM3000041000
544530,Grid reference converted from a latitude and longitude coordinate,SS68NE,SS6486,SS6460886836
544531,Grid reference converted from a latitude and longitude coordinate,SH68SW,SH6683,SH6600083000
544532,Grid reference converted from a latitude and longitude coordinate,,,
544533,Grid reference converted from a latitude and longitude coordinate,SR97SE,SR9172,SR9109272942
544534,Grid reference converted from a latitude and longitude coordinate,SH78NW,SH7687,SH7600587270
544535,Grid reference converted from a latitude and longitude coordinate,SM70NW,SM7809,SM7855509099
544536,Grid reference converted from a latitude and longitude coordinate,SM70NW,SM7607,SM7690007300
544537,Grid reference converted from a latitude and longitude coordinate,SS59NE,SS5099,SS5000099001
544538,Grid reference converted from a latitude and longitude coordinate,SS49NE,SS4399,SS4300099000
544539,Grid reference converted from a latitude and longitude coordinate,SM72SE,SM7024,SM7099824006
544540,Grid reference converted from a latitude and longitude coordinate,SS66NW,SS6568,SS6579968381
544541,Grid reference converted from a latitude and longitude coordinate,SC30SE,SC3402,SC3486002628
544542,Grid reference converted from a latitude and longitude coordinate,SH28SW,SH2583,SH2526683514
544543,Grid reference converted from a latitude and longitude coordinate,SJ28SE,SJ2080,SJ2066880048
544544,Grid reference converted from a latitude and longitude coordinate,SS68NW,SS6986,SS6952186128
544545,Grid reference converted from a latitude and longitude coordinate,SG96NW,SG9667,SG9600067000
544546,Grid reference converted from a latitude and longitude coordinate,SS87NW,SS8575,SS8537275350
544547,Grid reference converted from a latitude and longitude coordinate,SS68NW,SS6986,SS6952186128
544548,Grid reference converted from a latitude and longitude coordinate,SG62NE,SG6028,SG6000028000
544549,Grid reference converted from a latitude and longitude coordinate,SG99NW,SG9598,SG9500098000
544550,Grid reference converted from a latitude and longitude coordinate,SR97SE,SR9172,SR9109272942
544551,Grid reference converted from a latitude and longitude coordinate,SR26NW,SR2569,SR2500069000
544553,Grid reference converted from a latitude and longitude coordinate,SC70NW,SC7909,SC7900009000
