ResourceID,Location_Accuracy,Mapsheet,KMSQ,ResourceID
89ed97e9-e1ff-49cc-8736-661b3ec7acad,Grid reference taken at a central point within extensive site or complex,SH57SE,SH5971,89ed97e9-e1ff-49cc-8736-661b3ec7acad
e736b3ea-aee4-4d12-9c6c-ae6fe47493b5,Grid reference taken at a central point within extensive site or complex,ST17SE,ST1673,e736b3ea-aee4-4d12-9c6c-ae6fe47493b5
267d9b1c-8d2d-4afb-83c9-71303d7b8714,Grid reference taken at a central point within extensive site or complex,SH87NW,SH8077,267d9b1c-8d2d-4afb-83c9-71303d7b8714
e6f4ca78-a72d-4b4b-a2cf-6b15ef2bae94,Grid reference taken at a central point within extensive site or complex,SO21SW,SO2111,e6f4ca78-a72d-4b4b-a2cf-6b15ef2bae94
0f690d96-41c0-4e76-91fa-43d97f16ec48,Grid reference taken at a central point within extensive site or complex,SS69NW,SS6498,0f690d96-41c0-4e76-91fa-43d97f16ec48
b2109b36-7261-4509-b046-7936efc79675,Grid reference taken at a central point within extensive site or complex,SS98SE,SS9882,b2109b36-7261-4509-b046-7936efc79675
00138df4-f708-4b51-862e-1139c6d0d733,Grid reference taken at a central point within extensive site or complex,SM90SE,SM9502,00138df4-f708-4b51-862e-1139c6d0d733
67d0321a-9b43-44e3-827d-cf116a1c2e7d,Grid reference taken at a central point within extensive site or complex,ST29SE,ST2993,67d0321a-9b43-44e3-827d-cf116a1c2e7d
8b2d11ec-ae40-4ac8-b110-bd50e813147d,Grid reference taken at a central point within extensive site or complex,SJ35NW,SJ3256,8b2d11ec-ae40-4ac8-b110-bd50e813147d
9a6d1501-eb10-47e9-bbb6-a3deaa4d3baf,Grid reference taken at a central point within extensive site or complex,SH64NE,SH6946,9a6d1501-eb10-47e9-bbb6-a3deaa4d3baf
5d97cd3f-c64a-4df1-8e6c-788d9481d080,Grid reference taken at a central point within extensive site or complex,SH49SW,SH4492,5d97cd3f-c64a-4df1-8e6c-788d9481d080
92d8ede5-3729-410e-a0e3-f602e2cc4de5,Grid reference taken at a central point within extensive site or complex,SS99SE,SS9994,92d8ede5-3729-410e-a0e3-f602e2cc4de5
900634a8-4e36-4e41-b8d8-99b956dac501,Grid reference taken at a central point within extensive site or complex,SJ15NW,SJ1258,900634a8-4e36-4e41-b8d8-99b956dac501
231ad79d-94eb-4993-a760-a2997f773e0c,Grid reference taken at a central point within extensive site or complex,SM90SE,SM9803,231ad79d-94eb-4993-a760-a2997f773e0c
892199ed-6fbf-4728-afbc-a4ac6a88dc27,Grid reference taken at a central point within extensive site or complex,SO00SE,SO0603,892199ed-6fbf-4728-afbc-a4ac6a88dc27
c95f29b6-abd4-46d3-8170-7858aeafde07,Grid reference taken at a central point within extensive site or complex,SJ27SW,SJ2372,c95f29b6-abd4-46d3-8170-7858aeafde07
50f6edd4-da1a-4b52-958f-93345fdf1043,Grid reference taken at a central point within extensive site or complex,SO00SW,SO0200,50f6edd4-da1a-4b52-958f-93345fdf1043
aa051ec8-5097-464d-bcf7-a4c44cf225d8,Grid reference taken at a central point within extensive site or complex,SS98SW,SS9184,aa051ec8-5097-464d-bcf7-a4c44cf225d8
97bc4ebc-4685-430a-94cf-a834899e9b5c,Grid reference taken at a central point within extensive site or complex,SJ07NW,SJ0177,97bc4ebc-4685-430a-94cf-a834899e9b5c
874b66c6-36b3-4ddd-a77c-4490a534004e,Grid reference taken at a central point within extensive site or complex,SO19SE,SO1594,874b66c6-36b3-4ddd-a77c-4490a534004e
68407382-584a-45c1-92bf-8897289c5e9d,Grid reference taken at a central point within extensive site or complex,SN80NE,SN8605,68407382-584a-45c1-92bf-8897289c5e9d
19c36be9-92e9-4eba-ad03-fde54bb2dcaa,Grid reference taken at a central point within extensive site or complex,SN80NE,SN8605,19c36be9-92e9-4eba-ad03-fde54bb2dcaa
2a8a0f9c-a8e2-40e0-8659-bc8f84576028,Grid reference taken at a central point within extensive site or complex,SN55NW,SN5157,2a8a0f9c-a8e2-40e0-8659-bc8f84576028
46ed8d22-c434-4615-aab7-fc0e565b8e71,Grid reference taken at a central point within extensive site or complex,ST29NE,ST2996,46ed8d22-c434-4615-aab7-fc0e565b8e71
d29e5644-c42b-4578-b7ad-19835d13bbdf,Grid reference taken at a central point within extensive site or complex,SS79SW,SS7492,d29e5644-c42b-4578-b7ad-19835d13bbdf
746aea1d-5fbd-4d28-a46c-e38e6d6983d4,Grid reference taken at a central point within extensive site or complex,SS79SE,SS7590,746aea1d-5fbd-4d28-a46c-e38e6d6983d4
742b9d7f-ceb2-4341-91f5-c650d7fc2c47,Grid reference taken at a central point within extensive site or complex,SH93NW,SH9335,742b9d7f-ceb2-4341-91f5-c650d7fc2c47
964db58c-082a-4131-8d29-edf04c19d4c9,Grid reference taken at a central point within extensive site or complex,SO11SE,SO1611,964db58c-082a-4131-8d29-edf04c19d4c9
c94f619c-017a-4bb8-8012-9e61e4849c4d,Grid reference taken at a central point within extensive site or complex,ST59SW,ST5391,c94f619c-017a-4bb8-8012-9e61e4849c4d
43191948-5baf-447b-a433-500914a10f19,Grid reference taken at a central point within extensive site or complex,SS69NE,SS6696,43191948-5baf-447b-a433-500914a10f19
9a3221d9-0af5-4c91-9c3c-47eecea86ff8,Grid reference taken at a central point within extensive site or complex,ST18NE,ST1688,9a3221d9-0af5-4c91-9c3c-47eecea86ff8
e804f516-d428-477a-9f3b-f53ed915d0cc,Grid reference taken at a central point within extensive site or complex,ST28SE,ST2684,e804f516-d428-477a-9f3b-f53ed915d0cc
9529a9f0-511c-40cc-9b38-ff59767f70f9,Grid reference taken at a central point within extensive site or complex,SS59NW,SS5498,9529a9f0-511c-40cc-9b38-ff59767f70f9
de51b802-a538-4e5e-aedd-443e865827ef,Grid reference taken at a central point within extensive site or complex,ST29SW,ST2291,de51b802-a538-4e5e-aedd-443e865827ef
cfb3cf7a-440e-4a1d-ac99-33e0535c32aa,Grid reference taken at a central point within extensive site or complex,SJ34NW,SJ3047,cfb3cf7a-440e-4a1d-ac99-33e0535c32aa
4a8727f0-58ae-4cd4-9001-0a554c25b610,Grid reference taken at a central point within extensive site or complex,ST38NE,ST3785,4a8727f0-58ae-4cd4-9001-0a554c25b610
1aa6596a-3398-466d-bf93-6e7cafb47f9b,Grid reference taken at a central point within extensive site or complex,SS98SW,SS9181,1aa6596a-3398-466d-bf93-6e7cafb47f9b
111abf46-4caa-4009-ac4b-3930fdf67298,Grid reference taken at a central point within extensive site or complex,SM82SW,SM8423,111abf46-4caa-4009-ac4b-3930fdf67298
26e28f1b-34a2-423b-bfbd-388668755f3b,Grid reference taken at a central point within extensive site or complex,SO02NW,SO0228,26e28f1b-34a2-423b-bfbd-388668755f3b
8b790f22-2e20-437b-9e7e-5cd4023e222a,Grid reference taken at a central point within extensive site or complex,SO10NW,SO1408,8b790f22-2e20-437b-9e7e-5cd4023e222a
81d8946e-fcec-4753-913a-8d6b7cf1b00a,Grid reference taken at a central point within extensive site or complex,SH49SW,SH4190,81d8946e-fcec-4753-913a-8d6b7cf1b00a
b7f141db-9a38-430f-b178-a6a40bb52247,Grid reference taken at a central point within extensive site or complex,ST27NW,ST2479,b7f141db-9a38-430f-b178-a6a40bb52247
3d215529-737d-421b-b88f-cbe721ca6822,Grid reference taken at a central point within extensive site or complex,SS79SW,SS7393,3d215529-737d-421b-b88f-cbe721ca6822
e486fff9-139c-468f-a588-e4a87a19249d,Grid reference taken at a central point within extensive site or complex,SO36SW,SO3163,e486fff9-139c-468f-a588-e4a87a19249d
5927197f-c2bf-4fdc-8edc-13ee9b0bd2d3,Grid reference taken at a central point within extensive site or complex,SS97NW,SS9378,5927197f-c2bf-4fdc-8edc-13ee9b0bd2d3
d012edd0-234c-4232-a383-491e26524092,Grid reference taken at a central point within extensive site or complex,SJ26SW,SJ2462,d012edd0-234c-4232-a383-491e26524092
f93823a6-a6af-4b3a-9853-6db644a1f82a,Grid reference taken at a central point within extensive site or complex,SM90NE,SM9605,f93823a6-a6af-4b3a-9853-6db644a1f82a
c8908b14-df66-479c-94b3-dd3c92d7e6c1,Grid reference taken at a central point within extensive site or complex,SH47NE,SH4676,c8908b14-df66-479c-94b3-dd3c92d7e6c1
2954cf30-3840-45d0-b2e8-3783e9e78676,Grid reference taken at a central point within extensive site or complex,SH67SE,SH6774,2954cf30-3840-45d0-b2e8-3783e9e78676
